ID,Title,Delivery Team,PreConditions,Section,Section Hierarchy,Steps (Expected Result),Steps (Step),Tags,Type,Can be automated on Printers,Can be automated on Simulators,Cannot be automated,Need Information,Dependencies,Comments,
C51575001,"7751 PrinterInstallation_Win10_Mixed_IPv4,Hostname, LinkLocal,Stateless and statefull",Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Able to add and print test page.
Able to add and print test page
Able to add and print test page.
Able to add and print test page.
Able to add and print test page.","Environment : Mixed Mode 
Protocol : IPv4 
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : Mixed Mode
Protocol : Hostname
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : Mixed Mode
Protocol : LinkLocal
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : Mixed Mode
Protocol : Stateless
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : Mixed Mode
Protocol : Stateful
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.",Dune_Ares2.0,Manual,Yes,Yes,,Yes,HP Port Monitor,Need clarification,
C51575002,"7761 PrinterInstallation_Win10_IPv6Only_Linklocal, stateless and stateful",Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Able to add and print test page.
Able to add and print test page.
Able to add and print test page.","Environment : IPv6 only 
Protocol : LinkLocal
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : IPv6 only
Protocol : Stateless
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : IPv6 only
Protocol : Stateful
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.",Dune_Ares2.0,Manual,Yes,Yes,,Yes,HP Port Monitor,Need clarification,
C51575003,"7767 PrinterInstallation_Win10_IPv4Only_IPv4, hostname",Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Able to add and print test page.
Able to add and print test page.","Environment : IPv4 only 
Protocol : IPv4
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.
Environment : IPv4 only
Protocol : Hostname
OS: Win10

Steps:
1. Add port using the following Network Protocol
2. Add printer and able to print test page using the following Network Protocol

Add printer using HP Port Monitor when doing Ipv6(Link Local, Stateless, Stateful IP address) testing.",Dune_Ares2.0,Manual,Yes,Yes,,Yes,HP Port Monitor,Need clarification,
C51575004,0001-MultipleProtocolStarvation-01_TCP,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,,"Protocol: TCP/IP Peer-to-Peer

Steps:
1. Use a print client system for each of the protocol supported.
2. Configure all print clients to print to the same printer.
3. Send the print jobs in the sequence stated.

Expected Behavior:
1. Printer should print a group of 40 complete print jobs from given protocols
2. All printed jobs from different protocols should be stack among one another",Dune_Ares2.0,Manual,,,Cannot be automated,,OS's and Mobile OS's,Mobile OS's also supports TCP/IP Peer-to-Peer,
C51575005,01 JobCancelling-TCP,,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,,"TCP

Steps:
1. Install printer via the protocol listed above.
2. Send 7 job to the printer.
3. While second jobs starts to print, cancel it from spooler and let third job print
4. Cancel 4th job from spooler and let 5th job print.
5. Cancel 6th job from front panel and let last job print.

Expected Behaviour:
1. Able to cancel print jobs from both Control panel and Spooler.
2. Printer should send 4 completed print jobs by the end of each test",Dune_Ares2.0,Manual,,,Cannot be automated,,OS,cancelling job may cause jam,
C51575006,01 TCP_USB and USB_TCP,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Expected Behavior:
1. Time took to process the next job must be less than 3 - 5mins.  Any time longer than that must be highlighted
TCP/IP Potocol:
1. TCP/IP changed behviour
    a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects 
    b. Previously wasn&apos;t able to resume printing due to Defect 260420
Expected Behavior:
1. Time took to process the next job must be less than 3 - 5mins. Any time longer than that must be highlighted
2. USB should resume prinitng after usb cable is re-connected","System A: TCP
System B: USB


Scenario 1:
1. System B is connected to printer via USB port, System A is connected to printer via network
2. Send a print job from System A
3. While printer is processing print job A, send another print job from System B (USB).
4. Once printer start printing from A, Disconnect the network cable that is connected to the printer.
5. Start timing until printer starts processing print job B (USB). 
6. After job B is printed, Reconnect network cable and make sure that job A will print.



0002-HoseBreak-EIO&USB-02_USB_TCP-02
System A: USB
System B: TCP

Scenario 2:
1. System A is connected to printer via USB port, System B is connected to printer via network.
2. Send a print job from System A (USB).
3. While printer is processing print job A (USB), send another print job from System B.
4. Once printer start printing from A (USB), Disconnect the USB cable that is
connected to the printer.
5. Start timing until printer starts processing print job B.
6. After B is printed, Re-connect USB and confirm A will print",Dune_Ares2.0,Manual,,,Cannot be automated,,"Network cable, USB Cable, OS",Removing USB cable may cause jam,
C51575007,01 HoseBreakRecovery_TCP,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Expected Behaviour:
For USB:
1. Time took to process the next job must be less than 3 - 5mins.  Any time longer than that must
    be highlighted
2. Printer will sent 5 complete print jobs 


FOR TCP/IP: 
1. TCP/IP changed behviour
    a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects 
    b. Previously wasn&apos;t able to resume printing due to Defect 260420
Expected Behaviour:
For USB:
1. Time took to process the next job must be less than 3 - 5mins. Any time longer than that must
be highlighted
2. Printer will sent 5 complete print jobs

FOR TCP/IP:
1. TCP/IP changed behviour
a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects
b. Previously wasn't able to resume printing due to Defect 260420

Expected Behaviour:
For USB:
1. Time took to process the next job must be less than 3 - 5mins. Any time longer than that must
be highlighted
2. Printer will sent 5 complete print jobs

FOR TCP/IP:
1. TCP/IP changed behviour
a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects
b. Previously wasn't able to resume printing due to Defect 260420
Expected Behaviour:
For USB:
1. Time took to process the next job must be less than 3 - 5mins. Any time longer than that must
be highlighted
2. Printer will sent 5 complete print jobs

FOR TCP/IP:
1. TCP/IP changed behviour
a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects
b. Previously wasn&apos;t able to resume printing due to Defect 260420","1111 HoseBreakRecovery-03
Protocol: TCP
Time: 30sec
Printer Link Speed: 100Mbps-Half
Steps:
1. Send 5 jobs to the printer.
2. While 2nd job starts to print 1st pg, disconnect network/usb cable from printer. 
    (Once printer suck paper for the 2nd print job)
3. Wait for 30sec/2mins, then connect back cable.


Note: Access EWS to change link speed for the printer.



1111 HoseBreakRecovery-04
Protocol: TCP
Time: 2mins
Printer Link Speed: 100Mbps-Half
Steps:
1. Send 5 jobs to the printer.
2. While 2nd job starts to print 1st pg, disconnect network/usb cable from printer.
(Once printer suck paper for the 2nd print job)
3. Wait for 30sec/2mins, then connect back cable.

Note: Access EWS to change link speed for the printer.


1111 HoseBreakRecovery-07
Protocol: TCP
Time: 30sec
Printer Link Speed: 10Mbps-Half
Steps:
1. Send 5 jobs to the printer.
2. While 2nd job starts to print 1st pg, disconnect network/usb cable from printer.
(Once printer suck paper for the 2nd print job)
3. Wait for 30sec/2mins, then connect back cable.

Note: Access EWS to change link speed for the printer.


1111 HoseBreakRecovery-08
Time: 2mins
Printer Link Speed: 10Mbps-Half
Steps:
1. Send 5 jobs to the printer.
2. While 2nd job starts to print 1st pg, disconnect network/usb cable from printer.
(Once printer suck paper for the 2nd print job)
3. Wait for 30sec/2mins, then connect back cable.

Note: Access EWS to change link speed for the printer.",Dune_Ares2.0,Manual,,,Cannot be automated,,"Network cable, USB Cable, OS",Removing LAN/USB cable may cause jam,
C51575008,01 PowerCycleRecovery-TCP,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Expected Behaviour:
1. User needs to delete the affected print job (Spooler reflects as 
    ""Error-in-printing"") MANUALLY at the printer spooler.
2. Printer is ONLY able to continue processing print job after the 
    affected print job is deleted. 
3. TCP/IP changed behviour
    a. Able to resume printing for Driver Beta8 onwards for Esaki and Merlot Projects 
    b. Previously wasn&apos;t able to resume printing due to Defect 260420","TCP


Steps:
1. Install printer via the protocol listed above.
2. Send 5 job to the printer.
3. While the 2nd print job is in the middle of processing, power cycle printer.",Dune_Ares2.0,Manual,,,Cannot be automated,,OS,Removing LAN/USB cable may cause jam,
C51575009,"1100 ProtocolStarvation-01_TCP_USB,Apple,WSD,2k8_IPRINT,LPR,iPhone,WDP",Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves 
    (eg. AABAAA )
2. System B should never be the first or the last to print
    (eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)
Expected Behaviour:
1. Jobs Sent from System A & B should stack among themselves
(eg. AABAAA )
2. System B should never be the first or the last to print
(eg.BAAAAA or AAAAAB)","System A: TCP
System B: USB

Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-02_TCP_Apple
System A: TCP
System B: AppleTCP

Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-03_TCP_WSD
System A: TCP
System B: WSD
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-04_TCP_2k8
System A: TCP
System B: 2K3
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.
1100 ProtocolStarvation-05_TCP_IPRINT
System A: TCP
System B: IPRINT
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-06_TCP_LPR
System A: TCP
System B: LPR
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-07_TCP_iPhone
System A: TCP
System B: iPhone
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.


1100 ProtocolStarvation-08_TCP_WDP
System A: TCP
System B: Direct Print
Steps:
1. Send 2 jobs from System A.
2. When printer starts processing, send 1 job from System B
3. Followed by 3 more jobs from System A.","OSV-FWQA,Dune_Ares2.0",Manual,,,Cannot be automated,,,iPhone and AppleTCP,
C52050642,TestCase_1_Windows_P9100_with error condtions,Workstream: Connectivity,,Port 9100,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > Port 9100,"1.Printer should be installed successfully
2.No toner/Ink or UserIntervention needed message should be seen on the spooler,ews,and UI
3.Print job should reach to the printer and error message should be seen
4.Print job should resume and job should get printed without any issue
1.Printer should be installed successfully
2.Door open/UserIntervention needed message should be seen on the spooler,EWS and UI
3.Print job should reach to the printer and error message should be seen
4.Print job should resume and job should get printed without any issue
1.Printer should be installed successfully
2.Out of paper/UserIntervention needed message should be seen on the spooler,ews and UI
3.Print job should reach to the printer and error message should be seen
4.Print job should resume and job should get printed without any issue
1.Printer should be installed successfully
2.Paper jam/UserIntervention needed message should be seen on the spoole,EWS and UI
3.Print job should reach to the printer and error message should be seen
4.Print job should resume and job should get printed without any issue
1.Printer should be installed successfully
2. Incompatible cartridge error/UserIntervention needed message should be seen on the spoole,EWS and UI
3.Print job should reach to the printer and error message should be seen
4.Print job should resume and job should get printed without any issue","1.Install driver using P9100.
2.Remove any one of the cartridge
3.Print any job
4.Insert cartridge
1.Install driver using P9100
2.Do a door open.
3.Print any job
4.Close the door
1.Install driver using P9100
2.Open the input tray and send a print job.
3.Print any job
4.Close the tray
1.Install driver using P9100
2.Create a paper jam(by inserting a paper near the cartridge or inside the printer hardware) and send a print job.
3.Print any job
4.Claer the paper jam
1.Install driver using P9100
2.Insert incompatible cartridge into printer and close the door.
3.Print any job
4.Claer the Incompatible cartridge","OSV-FWQA, Dune-Ares2.0",Manual,,,Cannot be automated,,,Removing cartridge/opening&closing door events are present,
C51477964,Verify the 0 length file print.,Workstream: Connectivity,,LPD,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > LPD,1. Print should not happen.,"1. 1. Goto Start-> Devices and Printers-> Select Add a printer ->Choose Add a Local printer--> Next-> Create new port-->Select 'Standard TCP/IP protocol->Next->In Device Type, select TCP/IP Device->Enter IP address of the printer->Next->Have Disc-->Browse the path of driver and click on ""OK""-> Select the printer->Next->Proceed to complete the printer installation successfully.
After installating the printer, goto printer properties->Choose ""Ports"" tab->Choose Configuration port->Select LPD and give the queue(raw/auto/queue)name and click on ""OK"".

Create a ""0"" length file using notepad or word.
Fire a print.
Expected Result:
Print should not happen.","OSV_FWQA, Dune_Specific",Manual,Yes,Yes,,,,,
C51477965,Verify the behavior of printer after several conditions,Workstream: Connectivity,,LPD,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > LPD,"1. Both print and copy jobs should be printed successfully.
2. Both print and scan jobs should be successful.
3. Print shouldn't go to bad state.
4. Print shouldn't go to bad state.
Print job should get printed properly.
5. Print job should be successfully printed after the printer is powered up.
6. The print job should be completely printed.
7. The print job should be completely printed.","1. Add a printer 
Send a large job. 
Perform a copy job while the printer is printing.
Expected Result:
Both print and copy jobs should be printed successfully.
2. Add a printer
Send a large job.
Perform a scan job while the printer is printing.
Expected Result:
Both print and scan jobs should be successful.
3. Add a printer.
Send a large job.
Reboot the printer when it is printing the job.
Expected Result:
Print shouldn't go to bad state.
4. Add a printer
Send a large job.
Navigate through frontpanel when it is printing the job.
Expected Result:
Print shouldn't go to bad state.
Print job should get printed properly.
5. Add a printer
Power off the printer
Send a job.
Power on the printer.
Expected Result:
Print job should be successfully printed after the printer is powered up.
6. Turn off the printer.
Send a print job and wait for 15 minutes.
Turn on the printer.
Expected Result:
The print job should be completely printed.
7. Keep the paper tray empty.
Send a print job and wait for 15 minutes.
Fill the paper tray and close it.
Expected Result:
The print job should be completely printed.","OSV_FWQA, Dune_Specific",Manual,,,Cannot be automated,,,Power off and power on (15min gap),
C51477966,Verify the printer behavior while printing disable and enable P9100 and LPD ports from SNMP or EWS.,Workstream: Connectivity,,LPD,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > LPD,"1. When disabling LPD, respective print job should be stopped and P9100 jobs in the queue should go through successfully and vice versa.

4.Enable/disable should work properly","1. 1. Goto Start-> Devices and Printers-> Select Add a printer ->Choose Add a Local printer--> Next-> Create new port-->Select 'Standard TCP/IP protocol->Next->In Device Type, select TCP/IP Device->Enter IP address of the printer->Next->Have Disc-->Browse the path of driver and click on ""OK""-> Select the printer->Next->Proceed to complete the printer installation successfully.
2. Do a right click on the installed printer and goto configure port-> Choose LPD port and give a LPD queue name as ""text"", ""auto"", ""queue""->click on Apply and OK button.
Create a huge size print job and send a print via P9100 and LPD.
While printer is printing the job, disable P9100/LPD from EWS page or SNMP.
Expected Result:
When disabling LPD, respective print job should be stopped and P9100 jobs in the queue should go through successfully and vice versa.

4.Enable/disable LPD from EWS and SNMP and chrck status","OSV_FWQA, Dune_Specific",Manual,Yes,Yes,,,,,
C51477967,Verify LPD Print settings after restore Factory defaults,Workstream: Connectivity,,LPD,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > LPD,"1.LPD print services should get enabled.
2.LPD print services should get enabled.","1.Open printers EWS using a web browser. 2.Navigate to Network tab->Advanced Settings->LPD print tab and Disable LPD print services. 3. Perform factory restore settings 4. Check the status of LPD print services. Expected Result: LPD printing services should get enabled.
2.LPD printing tab->Enable LPD printing->Perform Restore Factory Default.","OSV_FWQA, Dune_Specific",Manual,Yes,Yes,,,,,
C51478165,"Verify On Job cancel of a print job on the printer, subsequent jobs should get printed properly",,,LPD,Manual > Product_Shared > Connectivity > Wired-Connectivity > N/W Printing > LPD,"1. Current job should get cancelled.
Subsequent jobs should get printed properly.","1. Add a printer
Print a large job (>10mb). 
Send few more jobs while the first job is getting processed. 
Cancel the current job from the printer.
Expected Result:
Current job should get cancelled.
Subsequent jobs should get printed properly.","OSV_FWQA, Dune_Specific",Manual,,,Cannot be automated,,"OS, Files",cancelling job may cause jam,
